North America	Blackberry	Jerusalem Artichoke
North America	Blueberry	 
North America	Cranberry	 
North America	Dewberry	 
North America	Gooseberry *	 
North America	Grape *	 
North America	Raspberry	 
North America	Strawberry *	 
Central America	Cherimoya	Corn
Papaya	 
Sapodilla	 
Sapote	 
South America	Avocado	Green Bean
Pineapple	Lima Bean
Strawberry *	Peppers
 	Potato
 	Pumpkin
 	Squash
 	Sweet Potato
 	Tomato
Europe (Western)	Currant	Carrot
Gooseberry *	Cabbage
 	Parsnip
 	Turnip
Europe (Eastern)	Apple	Endive Lettuce
Pear	Horseradish
Africa	Date	Artichoke
Watermelon	Okra
 	Yam
Middle East	Cherry	Asparagus
Fig	Beet
Grape *	Celery
Olive	Cress
Plum	Lettuce
 	Onion
 	Pea
 	Radish
 	Spinach
India	Lemon	Cucumber
Lime	Eggplant
Mango	 
Muskmelon	 
China	Apricot	Chinese Cabbage
Peach	 
Persimmon	 
Southeast Asia	Banana	 
Orange	 
Tangerine	 
Micronesia	Grapefruit	 
